resume_id,job_index,job_id,job_title,score_tfidf,skill_overlap,combined_score,rank
resume_1,943,944,Product Manager,0.18946178492339916,0.07317073170731707,0.15457446895857452,1
resume_10,1091,1092,Engineer,0.2062193579418244,0.044444444444444446,0.1576868838926104,1
resume_100,800,801,Analyst,0.18665255888566806,0.030303030303030304,0.13974770031087674,1
resume_1000,210,211,HR Executive,0.2325406076591175,0.04,0.17477842536138224,1
resume_10000,1169,1170,DevOps,0.20118149382347383,0.08571428571428572,0.1665413313907174,1
resume_1001,1764,1765,HR Executive,0.18504998032486691,0.025,0.13703498622740684,1
resume_1002,15,16,DevOps,0.26240330153008723,0.02857142857142857,0.19225373964248962,1
resume_1003,564,565,Data Scientist,0.2030583178203537,0.027777777777777776,0.15047415580758092,1
resume_1004,276,277,Data Scientist,0.2089936590553726,0.0,0.14629556133876082,1
resume_1005,637,638,Analyst,0.16993058107831122,0.025,0.12645140675481784,1
resume_1006,1321,1322,Engineer,0.211373891326339,0.02040816326530612,0.15408417290802912,1
resume_1007,1088,1089,Data Scientist,0.19809412273551003,0.10714285714285714,0.17080874305771415,1
resume_1008,760,761,Engineer,0.20985940447743226,0.05128205128205128,0.16228619851881795,1
resume_1009,1485,1486,Product Manager,0.21489868000568255,0.0,0.15042907600397779,1
resume_101,1964,1965,Product Manager,0.29249353263980943,0.06451612903225806,0.224100311557544,1
resume_1010,1603,1604,Product Manager,0.19771940257385112,0.05128205128205128,0.15378819718631115,1
resume_1011,952,953,Data Scientist,0.2714272185476983,0.0,0.1899990529833888,1
resume_1012,1469,1470,HR Executive,0.19609537734292165,0.06,0.15526676414004514,1
resume_1013,152,153,HR Executive,0.18920585157935021,0.030303030303030304,0.14153500519645423,1
resume_1014,129,130,HR Executive,0.21479675741652454,0.12903225806451613,0.189067407610922,1
resume_1015,1798,1799,DevOps,0.2362986634151307,0.09090909090909091,0.19268179166331875,1
resume_1016,1203,1204,HR Executive,0.21268935798099176,0.06382978723404255,0.168031486756907,1
resume_1017,466,467,Data Scientist,0.2222548577907319,0.043478260869565216,0.1686218787143819,1
resume_1018,903,904,Engineer,0.19953698175789253,0.05555555555555555,0.15634255389719143,1
resume_1019,1059,1060,Engineer,0.1952198572443388,0.044444444444444446,0.14998723340437048,1
resume_102,1033,1034,Engineer,0.21735813072462373,0.041666666666666664,0.1646506915072366,1
resume_1020,795,796,Data Scientist,0.18212550819702095,0.10526315789473684,0.1590668031063357,1
resume_1021,272,273,HR Executive,0.29087873379219076,0.1,0.23361511365453352,1
resume_1022,1820,1821,DevOps,0.22163068846029343,0.07142857142857142,0.17657005335077683,1
resume_1023,118,119,Engineer,0.22480766659721835,0.0625,0.17611536661805283,1
resume_1024,1895,1896,Data Scientist,0.17492803477130572,0.075,0.14494962433991398,1
resume_1025,288,289,DevOps,0.19847852795818338,0.10714285714285714,0.17107782671358548,1
resume_1026,932,933,DevOps,0.1958227087525234,0.047619047619047616,0.15136161041248064,1
resume_1027,1657,1658,HR Executive,0.19842303406445966,0.0425531914893617,0.15166208129193026,1
resume_1028,1242,1243,HR Executive,0.21285736654905082,0.05,0.1640001565843356,1
resume_1029,1925,1926,HR Executive,0.26245965565042406,0.030303030303030304,0.19281266804620592,1
resume_103,1290,1291,Analyst,0.1716460749200725,0.05263157894736842,0.13594172612826128,1
resume_1030,1191,1192,Product Manager,0.26026485560655843,0.0,0.1821853989245909,1
resume_1031,953,954,Analyst,0.1934984071462167,0.05405405405405406,0.15166510121856788,1
resume_1032,759,760,DevOps,0.2314647023110002,0.08823529411764706,0.18849587985299424,1
resume_1033,1832,1833,Analyst,0.2788824667347404,0.058823529411764705,0.21286478553784766,1
resume_1034,1951,1952,Analyst,0.261438990783778,0.03225806451612903,0.19268471290348332,1
resume_1035,961,962,Data Scientist,0.24111573650792784,0.02631578947368421,0.17667575239765473,1
resume_1036,998,999,Product Manager,0.18865737001487037,0.05,0.14706015901040925,1
resume_1037,1668,1669,Analyst,0.1981391884784138,0.02127659574468085,0.1450804106582939,1
resume_1038,946,947,DevOps,0.2119907699902706,0.1111111111111111,0.18172687232652274,1
resume_1039,1649,1650,Analyst,0.19464992867663297,0.07692307692307693,0.15933187315056616,1
resume_104,1021,1022,DevOps,0.2090393932991122,0.0,0.14632757530937854,1
resume_1040,1986,1987,Engineer,0.2373732448753584,0.03125,0.17553627141275088,1
resume_1041,1754,1755,Data Scientist,0.19063807245305248,0.038461538461538464,0.14498511225559824,1
resume_1042,659,660,HR Executive,0.19670832635687918,0.07894736842105263,0.1613800389761312,1
resume_1043,415,416,DevOps,0.23269987531427505,0.0,0.16288991271999254,1
resume_1044,606,607,Data Scientist,0.26950759285136033,0.0,0.18865531499595223,1
resume_1045,906,907,HR Executive,0.2744029204521509,0.06896551724137931,0.21277169948891944,1
resume_1046,1622,1623,Engineer,0.21763735181003896,0.0425531914893617,0.16511210371383575,1
resume_1047,1115,1116,Data Scientist,0.1955584008515206,0.06451612903225806,0.15624571930574183,1
resume_1048,1746,1747,Product Manager,0.19368256939104336,0.07692307692307693,0.15865472165065342,1
resume_1049,423,424,HR Executive,0.195150790703643,0.06818181818181818,0.15706009894709552,1
resume_105,356,357,HR Executive,0.2196915630217264,0.0625,0.17253409411520845,1
resume_1050,997,998,Product Manager,0.22087514136359054,0.13793103448275862,0.19599190929934096,1
resume_1051,1846,1847,Data Scientist,0.21729955297131864,0.0,0.15210968707992303,1
resume_1052,228,229,Data Scientist,0.22650993432166877,0.0,0.15855695402516812,1
resume_1053,1370,1371,HR Executive,0.17315182699774148,0.08333333333333333,0.14620627889841903,1
resume_1054,816,817,Data Scientist,0.23991283863189572,0.038461538461538464,0.1794774485807885,1
resume_1055,1603,1604,Product Manager,0.2177206054903289,0.06666666666666667,0.1724044238432302,1
resume_1056,426,427,Engineer,0.2190766211095255,0.021739130434782608,0.1598753739071026,1
resume_1057,1253,1254,DevOps,0.20604695552718702,0.025,0.15173286886903092,1
resume_1058,569,570,Product Manager,0.19550398773611896,0.0625,0.15560279141528324,1
resume_1059,890,891,Analyst,0.2197049822595204,0.0,0.15379348758166428,1
resume_106,1130,1131,DevOps,0.19492630904352548,0.0,0.13644841633046784,1
resume_1060,1640,1641,Product Manager,0.18673361451970438,0.07692307692307693,0.15379045324071614,1
resume_1061,1012,1013,HR Executive,0.23222823178490287,0.05714285714285714,0.17970261939228915,1
resume_1062,1445,1446,Data Scientist,0.1994464888292849,0.05128205128205128,0.1549971575651148,1
resume_1063,1397,1398,Analyst,0.2177176837823442,0.05263157894736842,0.16819185233185147,1
resume_1064,719,720,Data Scientist,0.20273758960992705,0.05555555555555555,0.1585829793936156,1
resume_1065,130,131,Data Scientist,0.21506276447702116,0.1111111111111111,0.18387726846724814,1
resume_1066,1541,1542,Engineer,0.18510466793663802,0.041666666666666664,0.14207326755564662,1
resume_1067,1893,1894,Data Scientist,0.2049775551598598,0.02857142857142857,0.1520557171833304,1
resume_1068,304,305,HR Executive,0.16503702588440186,0.022222222222222223,0.12219258478574796,1
resume_1069,771,772,Product Manager,0.21622021229679864,0.09090909090909091,0.1786268758804863,1
resume_107,1086,1087,HR Executive,0.19808817774863294,0.02127659574468085,0.1450447031474473,1
resume_1070,23,24,Data Scientist,0.19799984481964994,0.1,0.16859989137375495,1
resume_1071,633,634,DevOps,0.2120143542263848,0.023809523809523808,0.1555529051013265,1
resume_1072,663,664,Data Scientist,0.18869030341458662,0.05,0.1470832123902106,1
resume_1073,1687,1688,Analyst,0.21737586585645655,0.025,0.15966310609951959,1
resume_1074,777,778,Engineer,0.22874950550938442,0.07692307692307693,0.18320157693349215,1
resume_1075,380,381,Data Scientist,0.23943215814461027,0.08888888888888889,0.19426917736789384,1
resume_1076,1441,1442,DevOps,0.1846450747799066,0.0,0.1292515523459346,1
resume_1077,683,684,Analyst,0.293507919496904,0.027777777777777776,0.21378887698116614,1
resume_1078,863,864,DevOps,0.20819608053139294,0.0,0.14573725637197504,1
resume_1079,1096,1097,HR Executive,0.2253984284719796,0.05714285714285714,0.17492175707324287,1
resume_108,436,437,DevOps,0.17969108523645339,0.03571428571428571,0.13649804537980306,1
resume_1080,1455,1456,Data Scientist,0.19547687367716718,0.0,0.13683381157401703,1
resume_1081,1682,1683,DevOps,0.20553144601571885,0.07692307692307693,0.16694893528792626,1
resume_1082,725,726,DevOps,0.22991500707143267,0.022727272727272728,0.16775868676818467,1
resume_1083,1129,1130,Product Manager,0.21474131205235597,0.0,0.15031891843664916,1
resume_1084,186,187,Engineer,0.2558335568888449,0.025,0.18658348982219142,1
resume_1085,619,620,Data Scientist,0.19144688700283158,0.10526315789473684,0.16559176827040314,1
resume_1086,117,118,Data Scientist,0.23359802274055652,0.02857142857142857,0.17209004448981813,1
resume_1087,882,883,Product Manager,0.21247323621180264,0.02,0.15473126534826184,1
resume_1088,14,15,DevOps,0.21116737827610937,0.023809523809523808,0.1549600219361337,1
resume_1089,735,736,HR Executive,0.1967669960302403,0.0967741935483871,0.16676915528568434,1
resume_109,1653,1654,Data Scientist,0.28977710432082543,0.034482758620689655,0.21318880061078468,1
resume_1090,1990,1991,Analyst,0.20620527170320216,0.0,0.1443436901922415,1
resume_1091,1090,1091,Analyst,0.23158383744757693,0.0,0.16210868621330385,1
resume_1092,537,538,Analyst,0.2268406152243619,0.02127659574468085,0.1651714093804576,1
resume_1093,1451,1452,Analyst,0.23531999039137294,0.021739130434782608,0.17124573240439583,1
resume_1094,1626,1627,HR Executive,0.20500693890325808,0.06818181818181818,0.1639594026868261,1
resume_1095,1592,1593,Product Manager,0.28036365315353595,0.023255813953488372,0.20323130139352166,1
resume_1096,1214,1215,Engineer,0.28250857049638894,0.0,0.19775599934747226,1
resume_1097,1767,1768,Engineer,0.19981837456382495,0.058823529411764705,0.15751992101820686,1
resume_1098,1294,1295,Product Manager,0.22885439246975353,0.02127659574468085,0.16658105345223173,1
resume_1099,1228,1229,Product Manager,0.2058063139807826,0.045454545454545456,0.15770078342291147,1
resume_11,1214,1215,Engineer,0.2503217334837993,0.02857142857142857,0.18379664201008808,1
resume_110,1411,1412,Analyst,0.32404875745324757,0.02702702702702703,0.2349422383253814,1
resume_1100,1787,1788,DevOps,0.20988286757656158,0.06896551724137931,0.1676076624760069,1
